235682, 4358, 3388, 575, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235726, 4485, 3750, 278, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235760, 3639, 3286, 141, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235794, 2478, 3104, 282, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235828, 1546, 3032, 305, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235862, 849, 2885, 373, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235896, 326, 3296, 164, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235931, -69, 3211, 117, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235965, -549, 2967, 132, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
235999, -854, 2636, 96, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236033, -1109, 2577, 329, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236067, -1438, 2171, 331, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236102, -1385, 2774, 433, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236141, -1342, 2712, 805, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236180, -1255, 2313, 1175, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236219, -1020, 4911, -40, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236258, -1422, 4242, 141, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236298, -1110, 4227, 148, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236337, -1116, 4232, -163, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236376, -963, 4157, -71, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236415, -1027, 4098, -308, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236454, -998, 4186, -429, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236494, -993, 4167, -458, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236537, -936, 4036, -470, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236580, -881, 4093, -393, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236623, -515, 4764, -664, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
