495452, -946, 3871, -1020, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495491, -940, 3850, -1001, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495529, -960, 3848, -1011, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495568, -942, 3855, -1010, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495606, -943, 3839, -1017, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495645, -926, 3860, -1046, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495683, -952, 3831, -984, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495722, -950, 3862, -1010, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495761, -973, 3857, -988, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495800, -957, 3841, -1020, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495839, -954, 3910, -1027, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495878, -917, 3842, -1059, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495917, -949, 3884, -1012, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495957, -961, 3875, -1026, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
495996, -932, 3841, -1020, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496035, -955, 3846, -1033, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496074, -988, 3890, -1019, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496113, -960, 3836, -1022, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496153, -946, 3849, -991, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496189, -952, 3879, -1011, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
